姓名,类型1,类型2,总计,生命值,攻击力,防御力,速度,时代
Bulbasaur,Grass,Poison,318,45,49,49,45,1
Ivysaur,Grass,Poison,405,60,62,63,60,1
Venusaur,Grass,Poison,525,80,82,83,80,1
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,80,1
Charmander,Fire,,309,39,52,43,65,1
Charmeleon,Fire,,405,58,64,58,80,1
Charizard,Fire,Flying,534,78,84,78,100,1
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,100,1
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,100,1
Squirtle,Water,,314,44,48,65,43,1
Wartortle,Water,,405,59,63,80,58,1
Blastoise,Water,,530,79,83,100,78,1
BlastoiseMega Blastoise,Water,,630,79,103,120,78,1
Caterpie,Bug,,195,45,30,35,45,1
Metapod,Bug,,205,50,20,55,30,1
Butterfree,Bug,Flying,395,60,45,50,70,1
Weedle,Bug,Poison,195,40,35,30,50,1
Kakuna,Bug,Poison,205,45,25,50,35,1
Beedrill,Bug,Poison,395,65,90,40,75,1
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,145,1
Pidgey,Normal,Flying,251,40,45,40,56,1
Pidgeotto,Normal,Flying,349,63,60,55,71,1
Pidgeot,Normal,Flying,479,83,80,75,101,1
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,121,1
Rattata,Normal,,253,30,56,35,72,1
Raticate,Normal,,413,55,81,60,97,1
Spearow,Normal,Flying,262,40,60,30,70,1
Fearow,Normal,Flying,442,65,90,65,100,1
Ekans,Poison,,288,35,60,44,55,1
Arbok,Poison,,438,60,85,69,80,1
Pikachu,Electric,,320,35,55,40,90,1
Raichu,Electric,,485,60,90,55,110,1
Sandshrew,Ground,,300,50,75,85,40,1
Sandslash,Ground,,450,75,100,110,65,1
Nidoran♀,Poison,,275,55,47,52,41,1
Nidorina,Poison,,365,70,62,67,56,1
Nidoqueen,Poison,Ground,505,90,92,87,76,1
Nidoran♂,Poison,,273,46,57,40,50,1
Nidorino,Poison,,365,61,72,57,65,1
Nidoking,Poison,Ground,505,81,102,77,85,1
Clefairy,Fairy,,323,70,45,48,35,1
Clefable,Fairy,,483,95,70,73,60,1
Vulpix,Fire,,299,38,41,40,65,1
Ninetales,Fire,,505,73,76,75,100,1
Jigglypuff,Normal,Fairy,270,115,45,20,20,1
Wigglytuff,Normal,Fairy,435,140,70,45,45,1
Zubat,Poison,Flying,245,40,45,35,55,1
Golbat,Poison,Flying,455,75,80,70,90,1
Oddish,Grass,Poison,320,45,50,55,30,1
Gloom,Grass,Poison,395,60,65,70,40,1
Vileplume,Grass,Poison,490,75,80,85,50,1
Paras,Bug,Grass,285,35,70,55,25,1
Parasect,Bug,Grass,405,60,95,80,30,1
Venonat,Bug,Poison,305,60,55,50,45,1
Venomoth,Bug,Poison,450,70,65,60,90,1
Diglett,Ground,,265,10,55,25,95,1
Dugtrio,Ground,,405,35,80,50,120,1
Meowth,Normal,,290,40,45,35,90,1
Persian,Normal,,440,65,70,60,115,1
Psyduck,Water,,320,50,52,48,55,1
Golduck,Water,,500,80,82,78,85,1
Mankey,Fighting,,305,40,80,35,70,1
Primeape,Fighting,,455,65,105,60,95,1
Growlithe,Fire,,350,55,70,45,60,1
Arcanine,Fire,,555,90,110,80,95,1
Poliwag,Water,,300,40,50,40,90,1
Poliwhirl,Water,,385,65,65,65,90,1
Poliwrath,Water,Fighting,510,90,95,95,70,1
Abra,Psychic,,310,25,20,15,90,1
Kadabra,Psychic,,400,40,35,30,105,1
Alakazam,Psychic,,500,55,50,45,120,1
AlakazamMega Alakazam,Psychic,,590,55,50,65,150,1
Machop,Fighting,,305,70,80,50,35,1
Machoke,Fighting,,405,80,100,70,45,1
Machamp,Fighting,,505,90,130,80,55,1
Bellsprout,Grass,Poison,300,50,75,35,40,1
Weepinbell,Grass,Poison,390,65,90,50,55,1
Victreebel,Grass,Poison,490,80,105,65,70,1
Tentacool,Water,Poison,335,40,40,35,70,1
Tentacruel,Water,Poison,515,80,70,65,100,1
Geodude,Rock,Ground,300,40,80,100,20,1
Graveler,Rock,Ground,390,55,95,115,35,1
Golem,Rock,Ground,495,80,120,130,45,1
Ponyta,Fire,,410,50,85,55,90,1
Rapidash,Fire,,500,65,100,70,105,1
Slowpoke,Water,Psychic,315,90,65,65,15,1
Slowbro,Water,Psychic,490,95,75,110,30,1
SlowbroMega Slowbro,Water,Psychic,590,95,75,180,30,1
Magnemite,Electric,Steel,325,25,35,70,45,1
Magneton,Electric,Steel,465,50,60,95,70,1
Farfetch'd,Normal,Flying,352,52,65,55,60,1
Doduo,Normal,Flying,310,35,85,45,75,1
Dodrio,Normal,Flying,460,60,110,70,100,1
Seel,Water,,325,65,45,55,45,1
Dewgong,Water,Ice,475,90,70,80,70,1
